english	partOfSpeech	lugso	notes
happy	ADJ compound*	-	gorge-PTCP.PAST.PASS
hard	N	lif	
harm	VB	totp	
harvest	N	pur	
hastur	N	hostur	
hate	VB	fox	
hazard	N	vnis	
stitch	VB	dirb	
head	N	ip	
heal	VB compound*	-	grow-order
hear	VB compound	-	sense-sound
heart	N	nor	
heavy	ADJ compound*	-	mass-ADJ.DER
heel	N	gusx	
help	VB	yni5	
here	N compound	-	place-this
heretic	N	isv	
hidden	ADJ	xut	
hide	VB	3so3t	
high	ADJ	-	see tall
hit	VB	-	see strike
hive	N	xobt	
hole	N	-	see orifice
holy	ADJ compound*	-	fear-PTCP.PASS
home	N	-	see house
horn	N compound	-	bone-head
house	N	ugonogl	wgah'nagl
how	Q compound*	-	INS-Q
hug	VB	-	see possess
human	N	hupz	
humble	ADJ compound*	-	soul-servant-ADJ.DER
hunger	VB	hu5	also "love", "want to"
hunt	VB	3oloh	
husband	N compound*	-	servant-M
Hyades	N	hoyodiz	
i	1SG	no	
idiot	N compound*	-	sapient-DIM-NMLZ.DER
illuminate	VB	fin	
imaginary	ADJ compound*	-	imagine-ADJ.DER
imagine	VB	fxo3	
imagining	N	-	imagine-NMLZ.DER.act
imbalance	N compound	-	balance-NEG
IMP	VB suffix	gi	imperative mood (a command)
important	ADJ	fizn	
IND	VB suffix	toy	indicative mood - (optional except where ambiguous)
inferior	ADJ	sov	
infinite	ADJ	gololol	
inner	ADJ	-	see interior
INS	N suffix	iffo	instrumental case - using N
insane	ADJ	-	see selfless
insanity	N compound*	-	insane-NMLZ.DER.act
inside	N	did	
instantaneous	ADJ	lxuz	
INT	VB suffix	oh	interrogative mood  - is ...? did X ...?
interior	ADJ	odp	inner
invisible	ADJ	zux	
invite	VB	55u	
island	N compound	-	mountain-ocean
it	3SG	un	he, she, it
joint	N	ovgnub	
kill	VB	lov	
kin	N	5gip	
kingdom	N compound	-	dominion-master
knee	N compound	-	joint-limb
knife	N	birb	
know	VB	yogo	
knowledge	N	yog	
lake	N	-	see water_body
language	N compound	lu-sot	system thought
large	ADJ	-	see great
larva	N	lorg	
last	ADJ	u3on	
later	PREP	yuz	
laugh	N compound	-	noise-fear
law	N	-	see order
lead	VB	bgox	
learn	VB compound	huf-yu 	consume knowledge
lie	VB	ti	as in deceive
life	N	on	
light	N	fir	also "radiation" (any radiation on the EM spectrum is light)
limb	N	-	see flagellum
liquid	N	lu5	
list	N	-	see collection
LOC	N suffix	5ix	locative case - at N, in N
long	ADJ compound	-	large-dimension_spatial
look	VB	-	see attend
loose	VB	xloh	antonym "bind"
lose	VB	tsol	
love	VB	-	see hunger
luck	N	hlu3y	
M	N suffix	vir	
major	ADJ	rzu5	
male	ADJ	-	see M
MAL	N suffix	niog	malefactive case - with evil intent for N, against N, in opposition to N
many	ADJ	yoyyo	
mass	N	slox	
master	N	gi5	
mate	N compound	-	
material	N compound*	-	birth-NMLZ.DER.patient
meat	N	-	see flesh
meet	VB	slo	
memory_event	N compound	-	remember-NMLZ.DER.patient
work	VB	pub	
memory_faculty	N compound	-	remember-NMLZ.DER.agent
mercurial	ADJ compound*	-	change-ADJ.DER
metal	N	ginn	
milk	N	t3uh	
mind	N	toht	
minor	ADJ	vu5z	
missive	N	xob	
mistake	N	fovo	
MOD	VB suffix	z	modal mood "must/have to"
moment	N	vot	
mortal	ADJ	hun	
mother	N	rih	
mountain	N	xonx	
mourn	VB compound	-	death-pray
mouth	N compound	fvols-zu5	orifice-face
move	VB	-	see go
mucus	N	3lul3	
murder	VB	xib	
music	N	frog	
myth	N	oxz	
name	N compound	-	symbol-soul
narrow	ADJ compound	-	small-two
native	ADJ	osg	
necessary	ADJ	lsu	
NEG	suffix	zi	negation suffix
new	ADJ	tol	
night	N	3o3	
NMLZ.DER.act	suffix	zon	the act of verbing: verb-ation; also for nouns and adjs: noun-ness, adj-ness
NMLZ.DER.agent	VB suffix	zob	the one who verbs: verb-er, verb-ess, verb-ator, verb-atrix
NMLZ.DER.patient	VB suffix	zof	the one who is verbed: verb-ee, verb-ling
noise	N	lgu3g	
noisome	ADJ	duis	gross, nasty, disgusting, offensive
NOM	N suffix	∅	nominative case - the subject/actor/topic in a sentence
nose	N compound	-	gas-sense-organ
not	NEG	-	see NEG
nothing	N compound	-	thing-NEG
notify	VB	fxu	
now	N	zor	
number	N	il	
nyarlathotep	N	nyorloshotop	
obey	VB	xoz	
ocean	N compound	-	water_body-space
one	NUM	if	
only	ADJ	ugx	
open	VB	3fig	
order	N	if3	opposite of chaos; law; rule
organ 	N compound*	-	order-NMLZ.DER.patient
organization_human	N	ubi	e.g. government, family(!)
organization_natural	N	gorn	
organize	VB compound*	-	order-VB.DER
orifice	N	fvols	
origin	N	to3l	
other	ADJ	nul	
over	PREP	tyurh	
pact	N compound	-	contract-deity_intelligent
pain	N	tun	
parasite	N compound	-	follower-food
particle	N	gfur	
patient	N	ov5o	
penetrate	VB	vun	
period	N	-	see aeon
permit	VB	-	see grant
PFV	VB suffix	5o	perfective aspect
pit	N	ovs	
PL	N suffix	d	plural suffix
place	N	lox	
plan	N	psu	
plasma	N	fgi	
please	VB	-	see feed
ritual	N compound	-	system-sacrifice
POSS 	N suffix	gu	possessive suffix - N's (ownership)
possess	VB	nof	
potency	N	ily	see potency
potential	N	-	see potency
power	N	-	
pray	VB	tuh	
PREC	VB suffix	xnuz	precative mood (please ...)
presence	N	bxuyu5	
pressure	N	lx3ipis	
PRET	VB suffix	up	preterite mood (simple past) "i VBed"
priest	N	tu5o	
prime	NUM	fol	also "nth prime of"
PROH	VB suffix	yozb	prohibitive mood (do not ...)
PROL	N suffix	pzuv3	prolative case (by way of N, via N, through N)
promise	N compound	-	contract-mortal
protect	VB	vut	
PRV	N suffix	in5	privative case ("N-less", without N)
psyche	N	pig	
PTCP.ACT	VB suffix	nyo	x sing-PTCP.ACT -> the x that sings
PTCP.NEG	VB suffix	zyo	x sing-PTCP.NEG -> the x not sung
PTCP.PASS	VB suffix	lyo	x sing-PTCP.PASS -> the x that is sung
PTCP.PAST.ACT	VB suffix	byo	x sing-PTCP.PAST.ACT -> the x that sung
PTCP.PAST.PASS	VB suffix	dyo	x sing-PTCP.PAST.PASS -> the x that was sung
pulse	VB	-	see throb
Q 	suffix	5u	turns a word into a question
question	N	5ogh	
quick	ADJ	vozv	
radiation	N	-	see light
real	ADJ compound*	-	truth-ADJ.DER
reality	N	-	see truth
realize	VB compound*	-	truth-VB.DER
reap	VB	bihb	
receive	VB	gruy	
referent	N	-	see truth
REFL	N suffix	fif	reflexive suffix (-self)
reflect	VB	ruxt	
REL	VB suffix	or	introduces relative clause
remain	VB	-	see abide
remember	VB	podi	
request	VB	x3o	
rest	VB	fupsuu	
RET	VB suffix	3i	retrospective aspect
return	VB	is	
revolve	VB	lni	circle, encircle
reward	N	-	see blessing
rise	VB	fih	
rock	N	olf	
root	N	5ol	
rope	N	buthgu3nil	
sacrifice	N	tgus	
sacrifice_ascetic	VB compound	-	sacrifice-symbol
sacrifice_self	VB compound*	-	sacrifice-REFL
sacrifice_unwilling	VB compound	-	sacrifice-beast
sacrifice_willing	VB compound	-	sacrifice-sapient
sapient	ADJ	gu5	
satisfy	VB	-	see gorge
scatter	VB	zxiy5	
scent	N	3uzbdo	
scream	VB	gboydo	
second	N compound	-	throb-heart
secret	N compound*	-	speak-PTCP.NEG-NMLZ.DER.patient
seduce	VB	xogloz	
see	VB compound	-	sense-light
see_mental	VB	-	see apprehend
seed	N	3iv	
seek	VB	rils	
self	N	fi	as in "the self"
selfless	ADJ compound*	-	self-ADJ.DER-NEG
sense	VB	u3	any sense - sight, smell
servant	N	fbu5	
share	VB	5ut	
shed	VB	ilz	skin, blood, etc
ship	N	vobn	mobile craft
shoggoth	N	5oggot	
shore	N	yux	boundary between two things
short	ADJ compound	-	small-one
shred	VB	zu3	
shubniggurath	N	5ubnigurot	
sibling	N	yzi3	
sign	N	-	see symbol
sing	VB	vto5	
skin	N	bfuls	
sky	N	5xi	
slave	N	-	see servant
sleep	VB compound*	-	death-VB.DER
slice	VB	ttot	
small	ADJ	hi	
smell	VB compound	-	sense-scent
snake	N	snull	limbless organism
soft	ADJ	5iz	
solid	N	bin5	
some	ADJ	tuv	
song	N	vtu3	
soon	ADV	opnur	
soul	-	-	see essence
sound	N	puydu	
sow	VB	to	
space	N	hpi5	
speak	VB	lo	for "speak with" see exchange
speech 	N compound*	-	speak-NMLZ.DER.act
speed	N	xhong	
spit	VB	pti3z	
spread	VB	rir	
stab	VB	sovl	
star	N	lih	
start	VB	-	see begin
stick	N compound	-	limb-fuel-fire
stone	N	-	see rock
strange	ADJ	-	see beautiful
strike	VB	hit	
strong	ADJ	htib	
SUB	SUB VB suffix	3id	generic subclause suffix. eg "i saw [ verb-SUB... ]"
SUB.concession	SUB VB suffix	glin	despite X
SUB.conditional	SUB VB suffix	not	if X
SUB.cotemporal	SUB VB suffix	riy	at the same time as X
SUB.location	SUB VB suffix	gsu5t	where X
SUB.purpose	SUB VB suffix	u3g	because X
SUB.reason	SUB VB suffix	rig	in order that X
SUB.similarity	SUB VB suffix	sops	in the same way as X
suck	VB	slurp	
sun	N compound	-	star-home
SUPER	suffix	li	superlative - the most ..., the largest ...
superior	ADJ	yut	
surplus	N	puz	trove
surrender	VB	gu5h	
swim	VB	vux	travel through liqud
symbol	N	zuyn	
system	N	lu	
tail	N compound	-	limb-balance
take	VB	orx	
tall	ADJ compound	-	large-one
teach	VB	5liz	
tell	VB	-	see notify
TEMP	N suffix	zxi	temporal case - during N
tentacle	N	-	see flagellum
that	ADJ	-	see DET.DIST
them	3PL	sigf	
there	N compound	-	place-that
thick	ADJ compound	-	large-three
thin	ADJ compound	-	small-three
thing	N	vzur	
this	ADJ	-	see DET.PROX
thought	N	sot	
three	N	ulfol	
threshold	N	ltup	
throb	VB	pols	
time	N	5if	
tomb	N	blofogx	
tongue	N	hipid	
too	ADV	-	see also
tooth	N	odi3	
traitor	N	ryug	
transact	VB	-	see exchange
transgress	VB	tug	
transmit	VB	os	
travel	VB	yutl	
tree	N compound	-	fuel-fire
tremble	VB	opz	
tribute	N	yuvx	
true 	ADJ compound*	-	truth-ADJ.DER
truth	N	sru3	also reality, referent (antonym of sign), affirmation
tsathogghua	N	tsotoghuo	
two	NUM	ul	
under	PREP	-	see beneath
understand	VB	yu	
uninitiate	N	-	see idiot
unite	VB	zunx	
upright	ADJ	nziv5	
useful	ADJ	ziy3	
value	N	3yupb	
VB.DER	suffix	i	verb-izing suffix
venture	N	rru	
victim_unwilling	N	-	see beast
victim_willing	N	-	see sapient
violate	ADJ	fib	
visit	VB	ddi	
visualize	VB	-	see imagine
VOC	N suffix	u	vocative case - Hey N! O, N!
vocabulary	N compound	-	collection-word
voice	VB	yud	
void	N	volx	chasm, abyss, canyon
vomit	VB	horx	
vulnerable	ADJ	5ig	
wait	VB	rvi	
war	N	yuzf	
watch	VB	3yo	
water 	N compound	-	blood-sky
water_body	N	gillid	
wave	N	rot	
way	N	zot	path, road
we_exc	1PL.EX	vo	
we_inc	1PL.INC	vu	
weak	ADJ	lodi	
wealthy	ADJ	-	see happy
web	N	rvod	cloth, net
weep 	VB	bgi	
weird	ADJ	-	see beautiful
what	Q compound*	-	thing-Q
dance	VB	-	see writhe
wheat	N	yuit	loan word 
when	Q compound*	-	time-Q
where	Q compound*	-	place-Q
who	Q compound*	-	agent-Q
whole	ADJ	-	see entire
why	Q compound*	-	root-Q
wide	ADJ compound	-	large-two
wife	N compound*	-	servant-F
will	VB, N	ot	as in, willpower
wilt	VB	lunin	
wish	VB	zo3x	
word 	N compound	-	symbol-thought
worship	VB	lolv	
writhe	VB	-	see flail
y'all	2PL	du	
yig	N	yig	
yogsothoth	N	yogsotot	
you	2SG	do	
zero	NUM	ob	
